% Base Parameters: gridHeight = 100, gridWidth = 100, min_distance_groups = 5, num_groups = 13, num_agents_per_group = 5, max_strikes = 3, mean_tolerance = 0.5, std_tolerance = 0.25, mean_value = 1.0, std_value = 0.5, agent_std_value = 0.1, prop_deviant = 0.2, deviant_mean_tolerance = 0.25, 

% Random Parameters: 
% Test Parameters:
%deviant_mean_tolerance = [0.25, 1.0, 0.5]
% ,,Test Parameters,Results
Seed,Timestep,deviant_mean_tolerance,num_deviants,num_standards,avg_deviant_payoff,avg_standard_payoff,
1,69,0.25,14,51,28.68504051245523,29.491687523267302,
1,70,0.25,14,51,29.037804833161477,29.90291698177701,
1,71,0.25,14,51,29.37500376186959,30.283532495280955,
1,72,0.25,14,51,29.744595390262056,30.69817492220421,
1,73,0.25,14,51,30.09894296866271,31.117190250476217,
1,74,0.25,14,51,30.42819215118805,31.518274074615086,
1,75,0.25,14,51,30.795864694186246,31.933727370018786,
1,76,0.25,14,51,31.149279015783957,32.33990800423689,
1,77,0.25,14,51,31.48446958448318,32.73109810428074,
1,78,0.25,14,51,31.85954071254813,33.11519019698976,
1,79,0.25,14,51,32.24295447684888,33.49563648429763,
1,80,0.25,14,51,32.58529780817978,33.900972534907126,
1,81,0.25,14,51,32.93776739224891,34.29239857880797,
1,82,0.25,14,51,33.31881155361587,34.698208285308766,
1,83,0.25,14,51,33.714835018289236,35.09157032752356,
1,84,0.25,14,51,34.101602730993584,35.487576281289215,
1,85,0.25,14,51,34.48452536762926,35.876127158410426,
1,86,0.25,14,51,34.86737130896139,36.25023023667603,
1,87,0.25,14,51,35.245577912113085,36.634994039472446,
1,88,0.25,14,51,35.65975322361612,37.037986900571944,
1,89,0.25,14,51,35.98940787271133,37.42794540228845,
1,90,0.25,14,51,36.325948226861016,37.82878324825362,
1,91,0.25,14,51,36.67637772714566,38.23319426871785,
1,92,0.25,14,51,37.119753976512236,38.61889171138403,
1,93,0.25,14,51,37.45125589724637,38.998073051458825,
1,94,0.25,14,51,37.78700319910872,39.37276181111923,
1,95,0.25,14,51,38.16570159701734,39.75318330198438,
1,96,0.25,14,51,38.50512726244132,40.15308688168711,
1,97,0.25,14,51,38.92827645824587,40.545756104464324,
1,98,0.25,14,51,39.326723584146244,40.94623271300938,
1,99,0.25,14,51,39.7174328533356,41.33663580214071,
1,100,0.25,14,51,40.11152760459159,41.73322154664293,
1,0,1.0,14,51,0.0,0.0,
1,1,1.0,14,51,0.5177890675408499,0.5136609914256081,
1,2,1.0,14,51,1.0319680043629236,1.013986132191677,
1,3,1.0,14,51,1.545149291413171,1.5244490885267064,
1,4,1.0,14,51,2.0472048423119955,1.9942251755910758,
1,5,1.0,14,51,2.537648266979626,2.4615116702575315,
1,6,1.0,14,51,3.049817724313055,2.9412223933958535,
1,7,1.0,14,51,3.551853132673673,3.416902499912333,
1,8,1.0,14,51,4.0129270600421085,3.8796097241776675,
1,9,1.0,14,51,4.506883632285255,4.343177560358178,
1,10,1.0,14,51,4.996161462579454,4.789088774055353,
1,11,1.0,14,51,5.5183529121535155,5.286507180492331,
1,12,1.0,14,51,6.008340868353842,5.771875068669406,
1,13,1.0,14,51,6.501190214071954,6.255237705561032,
1,14,1.0,14,51,7.016911143490245,6.729331154443039,
1,15,1.0,14,51,7.541173838717597,7.214186478112063,
1,16,1.0,14,51,8.036943643433707,7.674975774846188,
1,17,1.0,14,51,8.520795946036065,8.125167590764402,
1,18,1.0,14,51,9.028615885972975,8.591521533297268,
1,19,1.0,14,51,9.514462056756019,9.057521498382203,
1,20,1.0,14,51,10.02994731579508,9.529063885158484,
1,21,1.0,14,51,10.547933507391386,9.97990578989685,
1,22,1.0,14,51,11.066989961266517,10.416108482648646,
1,23,1.0,14,51,11.56583428468023,10.862648331691537,
1,24,1.0,14,51,12.085118980492865,11.318197120954073,
1,25,1.0,14,51,12.594675454071588,11.770961257048883,
1,26,1.0,14,51,13.111015600391797,12.245611029943902,
1,27,1.0,14,51,13.602573307497158,12.683499152483792,
1,28,1.0,14,51,14.103184294274874,13.138104092264571,
1,29,1.0,14,51,14.61798186642783,13.573585166173617,
1,30,1.0,14,51,15.105644745486126,14.014225430572523,
1,31,1.0,14,51,15.603150103773391,14.45361270062107,
1,32,1.0,14,51,16.063046723178456,14.896123987490672,
1,33,1.0,14,51,16.578675421220915,15.348715787011654,
1,34,1.0,14,51,17.073041888645715,15.78692547719447,
1,35,1.0,14,51,17.566858819127084,16.21956528021603,
1,36,1.0,14,51,18.057204511761665,16.662191144796605,
1,37,1.0,14,51,18.553238920228825,17.115566208008207,
1,38,1.0,14,51,19.065931113702913,17.558567872861765,
1,39,1.0,14,51,19.577464988401967,18.010462632642987,
1,40,1.0,14,51,20.061837237221855,18.452813224380286,
1,41,1.0,14,51,20.563077346767702,18.90275272735332,
1,42,1.0,14,51,21.0691311704261,19.356629765866767,
1,43,1.0,14,51,21.58446542748384,19.80892543969527,
1,44,1.0,14,51,22.1181340115411,20.274848862971503,
1,45,1.0,14,51,22.62780936402935,20.72286321718033,
1,46,1.0,14,51,23.13363765605859,21.160136298557774,
1,47,1.0,14,51,23.61452350488731,21.610501695393047,
1,48,1.0,14,51,24.076957187908043,22.05087466766898,
1,49,1.0,14,51,24.5830253311566,22.48257182212921,
1,50,1.0,14,51,25.067279565760067,22.918134137220086,
1,51,1.0,14,51,25.56161745190621,23.35445815478161,
1,52,1.0,14,51,26.061101246305874,23.79209434091417,
1,53,1.0,14,51,26.543416434100703,24.24580416066572,
1,54,1.0,14,51,27.03551853724889,24.68123711059954,
1,55,1.0,14,51,27.518811625242233,25.108006727857855,
1,56,1.0,14,51,28.007341724634177,25.548294428912985,
1,57,1.0,14,51,28.476659149357257,25.961924665557273,
1,58,1.0,14,51,28.955845812388826,26.400046862564295,
1,59,1.0,14,51,29.4278016682182,26.81395174369105,
1,60,1.0,14,51,29.884001657366756,27.266115926020458,
1,61,1.0,14,51,30.37702273896763,27.702564589493598,
1,62,1.0,14,51,30.883086170894764,28.15092443361287,
1,63,1.0,14,51,31.363094785596644,28.574529165945606,
1,64,1.0,14,51,31.825927187928137,28.983921480571237,
1,65,1.0,14,51,32.33105373020683,29.39406292232318,
1,66,1.0,14,51,32.81036152903523,29.825521488872976,
1,67,1.0,14,51,33.28870510097061,30.235753709083244,
1,68,1.0,14,51,33.78107852531331,30.664202183864855,
1,69,1.0,14,51,34.2742485887238,31.058465947502945,
1,70,1.0,14,51,34.7587105148605,31.477663297308418,
1,71,1.0,14,51,35.22859399212259,31.894540073703592,
1,72,1.0,14,51,35.706385767247,32.32419801709448,
1,73,1.0,14,51,36.221816168725496,32.76330377883475,
1,74,1.0,14,51,36.70743133106402,33.183426877535574,
1,75,1.0,14,51,37.204890778447904,33.619764915187424,
1,76,1.0,14,51,37.68583026123899,34.032972318538704,
1,77,1.0,14,51,38.15735699683428,34.44355826601956,
1,78,1.0,14,51,38.62816031809364,34.86142421625795,
1,79,1.0,14,51,39.10451018895422,35.28545441511336,
1,80,1.0,14,51,39.5765530041286,35.71252989132779,
1,81,1.0,14,51,40.10635361160551,36.16234771130264,
1,82,1.0,14,51,40.59463008301599,36.58071489528927,
1,83,1.0,14,51,41.066754919716296,37.00062414918104,
1,84,1.0,14,51,41.56191176474095,37.42523355155495,
1,85,1.0,14,51,42.03524926986013,37.830202418934334,
1,86,1.0,14,51,42.516781562992506,38.25482978033648,
1,87,1.0,14,51,42.98727524237973,38.68165505485916,
1,88,1.0,14,51,43.4735116975648,39.09040991142223,
1,89,1.0,14,51,43.98065024954933,39.52089678709313,
1,90,1.0,14,51,44.48074918261596,39.92440729392411,
1,91,1.0,14,51,44.9725351699761,40.35624130427155,
1,92,1.0,14,51,45.47417622549193,40.77440685258923,
1,93,1.0,14,51,45.953815484898435,41.17636863685851,
1,94,1.0,14,51,46.424690060104645,41.58699989801089,
1,95,1.0,14,51,46.90389431715011,41.9897800863703,
1,96,1.0,14,51,47.375938459805084,42.39578497256234,
1,97,1.0,14,51,47.895033390607146,42.80421181348289,
1,98,1.0,14,51,48.373223468235565,43.2144596242814,
1,99,1.0,14,51,48.86499170873846,43.612647522351615,
1,100,1.0,14,51,49.3374863339322,44.04714213217001,
1,0,0.5,14,51,0.0,0.0,
1,1,0.5,14,51,0.5177890675408499,0.5136609914256081,
1,2,0.5,14,51,1.0319680043629236,1.013986132191677,
1,3,0.5,14,51,1.5563801126820702,1.5306150296155137,
1,4,0.5,14,51,2.005781438946724,1.996694658901177,
1,5,0.5,14,51,2.4576171845197683,2.4566935393155784,
1,6,0.5,14,51,2.92557826936245,2.9343317409356424,
1,7,0.5,14,51,3.4130393628742346,3.3976707661853114,
1,8,0.5,14,51,3.868995343441938,3.8486614905083667,
1,9,0.5,14,51,4.37436951511058,4.30853364721658,
1,10,0.5,14,51,4.819790223937189,4.754534413386369,
1,11,0.5,14,51,5.330782776432305,5.232167831324642,
1,12,0.5,14,51,5.784353038455684,5.685602571419223,
1,13,0.5,14,51,6.249369682797289,6.136334258404012,
1,14,0.5,14,51,6.724049824717967,6.5724629343599625,
1,15,0.5,14,51,7.213622848478203,7.029333774796287,
1,16,0.5,14,51,7.710952369221066,7.484356632733152,
1,17,0.5,14,51,8.148288016650804,7.925391360320573,
1,18,0.5,14,51,8.648614861931357,8.398437632584407,
1,19,0.5,14,51,9.131663183485658,8.855500252036945,
1,20,0.5,14,51,9.644130822958028,9.279087871009688,
1,21,0.5,14,51,10.151509144575693,9.749396715027661,
1,22,0.5,14,51,10.617174979118646,10.14843387713991,
1,23,0.5,14,51,11.110436500938622,10.577364933156609,
1,24,0.5,14,51,11.57024654331991,11.006659250067486,
1,25,0.5,14,51,12.02195208254644,11.437727310979827,
