% Base Parameters: gridHeight = 100, gridWidth = 100, min_distance_groups = 5, num_groups = 13, num_agents_per_group = 5, max_strikes = 3, mean_tolerance = 0.25, std_tolerance = 0.1, mean_value = 1.0, std_value = 0.5, agent_std_value = 0.25, prop_deviant = 0.2, deviant_mean_tolerance = 0.125, prefix = adjusted_means, 

% Random Parameters: 
% Test Parameters:
%deviant_mean_tolerance = [0.125, 0.25, 0.5]
% ,,Test Parameters,Results
Seed,Timestep,deviant_mean_tolerance,num_deviants,num_standards,avg_deviant_payoff,avg_standard_payoff,
1,54,0.125,14,51,13.399443343784004,13.671611424795373,
1,55,0.125,14,51,13.726172349538144,13.917512123204949,
1,56,0.125,14,51,13.89046623529145,14.163820362177464,
1,57,0.125,14,51,14.174689976113902,14.44366767891486,
1,58,0.125,14,51,14.390964592382293,14.691921903202768,
1,59,0.125,14,51,14.693858291393274,15.011054159129197,
1,60,0.125,14,51,15.015827038826021,15.325682855816574,
1,61,0.125,14,51,15.294011535424545,15.555213326812632,
1,62,0.125,14,51,15.613592188570006,15.84598677344901,
1,63,0.125,14,51,15.889071157441908,16.164018832013515,
1,64,0.125,14,51,16.152366487447797,16.425808921008144,
1,65,0.125,14,51,16.450540409246155,16.68328203925112,
1,66,0.125,14,51,16.660033158929902,16.899316529125073,
1,67,0.125,14,51,16.94416811387574,17.148687887655353,
1,68,0.125,14,51,17.24551895972328,17.39858340795711,
1,69,0.125,14,51,17.38742880247648,17.63380042100055,
1,70,0.125,14,51,17.63303730603401,17.864150694843154,
1,71,0.125,14,51,17.829806949199607,18.065268562060112,
1,72,0.125,14,51,18.052908505106142,18.35881742519679,
1,73,0.125,14,51,18.323768760649937,18.55862641029523,
1,74,0.125,14,51,18.512386505922304,18.820289152690304,
1,75,0.125,14,51,18.764033506866493,19.047972004675184,
1,76,0.125,14,51,18.9990367504862,19.337371616936142,
1,77,0.125,14,51,19.255646859643853,19.57977034983847,
1,78,0.125,14,51,19.47900156563458,19.805840835952516,
1,79,0.125,14,51,19.834138389618197,20.08024321199766,
1,80,0.125,14,51,20.172738845878076,20.33787662675216,
1,81,0.125,14,51,20.410719309736397,20.620581266266214,
1,82,0.125,14,51,20.596362527062126,20.85093551746833,
1,83,0.125,14,51,20.75071258087484,21.075809456250294,
1,84,0.125,14,51,21.020826183165614,21.35929463533158,
1,85,0.125,14,51,21.355405200814868,21.62479904074602,
1,86,0.125,14,51,21.500479184502137,21.85638808316346,
1,87,0.125,14,51,21.81064884339804,22.180365521506193,
1,88,0.125,14,51,22.076193561969195,22.43585918645631,
1,89,0.125,14,51,22.265411340800622,22.694424361911768,
1,90,0.125,14,51,22.61018105017703,22.871076063137508,
1,91,0.125,14,51,22.92382259272387,23.104064170604087,
1,92,0.125,14,51,23.185246390854815,23.39596043492807,
1,93,0.125,14,51,23.3014504415682,23.666574615255968,
1,94,0.125,14,51,23.551545370256065,23.88274454015858,
1,95,0.125,14,51,23.841131725295863,24.111806973528093,
1,96,0.125,14,51,24.052576553229375,24.36198469849887,
1,97,0.125,14,51,24.219561282497754,24.656101783950305,
1,98,0.125,14,51,24.467705282209046,24.89380810870856,
1,99,0.125,14,51,24.736762560033906,25.062308400708925,
1,100,0.125,14,51,24.88571295941248,25.315138726422695,
2,0,0.125,13,52,0.0,0.0,
2,1,0.125,13,52,0.30521663794150716,0.2527519521804958,
2,2,0.125,13,52,0.5523180571886209,0.5198754393137421,
2,3,0.125,13,52,0.7679326314192553,0.725592076491851,
2,4,0.125,13,52,0.9709601849317552,0.9709916926777129,
2,5,0.125,13,52,1.1530185679512288,1.161464077069616,
2,6,0.125,13,52,1.4941851103028811,1.3431334318054728,
2,7,0.125,13,52,1.6960240916882259,1.4940595121048288,
2,8,0.125,13,52,1.9741586285467785,1.7297272043660021,
2,9,0.125,13,52,2.2465938677776647,1.9261346026067818,
2,10,0.125,13,52,2.452349696570974,2.1013245828507445,
2,11,0.125,13,52,2.7722374500542553,2.2819668214572584,
2,12,0.125,13,52,2.9464378313037676,2.5554750203327927,
2,13,0.125,13,52,3.3480895472483967,2.779280090411672,
2,14,0.125,13,52,3.579283434553306,2.9944933192839454,
2,15,0.125,13,52,3.7853976908535527,3.2261534425669036,
2,16,0.125,13,52,4.055761829876837,3.4794479841432793,
2,17,0.125,13,52,4.331337494401479,3.6414897458602318,
2,18,0.125,13,52,4.483544555254694,3.8639812273191394,
2,19,0.125,13,52,4.773050613549166,4.042570016091305,
2,20,0.125,13,52,5.146639453264108,4.285222506244829,
2,21,0.125,13,52,5.417198155165116,4.546367246201327,
2,22,0.125,13,52,5.671436227817775,4.803110247108472,
2,23,0.125,13,52,5.786263586432074,5.047089143814405,
2,24,0.125,13,52,5.996617376258019,5.281476850337366,
2,25,0.125,13,52,6.297718163650302,5.515426150760774,
2,26,0.125,13,52,6.509212301342502,5.759703187708967,
2,27,0.125,13,52,6.797031964529059,5.970130059868988,
2,28,0.125,13,52,7.004439264658128,6.205170478568216,
2,29,0.125,13,52,7.263833404152698,6.449453969746835,
2,30,0.125,13,52,7.496270259416401,6.727187960759287,
2,31,0.125,13,52,7.690250779966416,6.980123716913339,
2,32,0.125,13,52,7.936849417187433,7.16984795132405,
2,33,0.125,13,52,8.270308652513025,7.388301008400784,
2,34,0.125,13,52,8.491373873468975,7.635635600630205,
